,index,hospital_name,hospital_ownership,hospital_type,lat,lng,address,city,emergency_services,subtotal_acute_utilization,payroll_employees,hospital_overall_rating,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison,state
19,19,HIMA-SAN PABLO FAJARDO,Proprietary,Acute Care Hospitals,18.3356291,-65.6532034,GENERAL VALERO AVE#404,FAJARDO,True,24.0,279.84,Not Available,Not Available,Not Available,Not Available,Not Available,Below the national average,Not Available,Not Available,Puerto Rico
20,20,DOCTOR CENTER HOSPITAL SAN FERNANDO DE LA CAROLINA,Government - State,Acute Care Hospitals,18.4215119,-66.0256637,EDIF JESUS T PINEIRO AVE FERNANDEZ JUNCOS BO PUEBL,CAROLINA,True,70.0,267.63,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
21,21,PRESBYTERIAN COMMUNITY HOSP,Voluntary non-profit - Other,Acute Care Hospitals,18.4550543,-66.0654679,1451 ASHFORD AVENUE,SAN JUAN,True,56.0,686.8,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,Puerto Rico
22,22,HOSPITAL UNIVERSITARIO DR RUIZ ARNAU,Government - State,Acute Care Hospitals,18.367268,-66.153811,LAUREL AVE SANTA JUANITA #100,BAYAMON,True,30.0,257.63,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
23,23,AUXILIO MUTUO HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,18.4229638,-66.0571476,PONCE DE LEON AVENUE STOP 37 1/2,HATO REY,True,69.0,1934.0,1,Same as the national average,Same as the national average,Below the national average,Not Available,Below the national average,Not Available,Not Available,Puerto Rico
24,24,HIMA SAN PABLO HUMACAO,Proprietary,Acute Care Hospitals,18.1505887,-65.8266744,CALLE FONT MARTELO #3,HUMACAO,True,62.0,232.36,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
25,25,HOSPITAL SAN FRANCISCO,Proprietary,Acute Care Hospitals,18.3990299,-66.0387156,371 DE DIEGO AVE,SAN JUAN,True,72.0,427.54,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
26,26,HIMA SAN PABLO BAYAMON,Proprietary,Acute Care Hospitals,18.397664,-66.149674,70 CALLE SANTA CRUZ,BAYAMON,True,76.0,1424.0,1,Same as the national average,Not Available,Below the national average,Not Available,Below the national average,Not Available,Not Available,Puerto Rico
27,27,CENTRO MEDICO WILMA N VAZQUEZ,Proprietary,Acute Care Hospitals,18.4433265,-66.4180747,CARR. 2 KM 39.5    ROAD NUMBER 2 BO ALGARROBO,VEGA BAJA,True,26.0,296.07,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
28,28,LEGENT ORTHOPEDIC + SPINE,Proprietary,Acute Care Hospitals,29.591481,-98.590438,5330 NORTH LOOP 1604 WEST,SAN ANTONIO,True,2.0,72.79,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Texas
29,29,WILSON MEDICAL CENTER,Government - Local,Critical Access Hospitals,37.408529,-95.7082419,REECE CAMPUS 2600 OTTAWA ROAD,NEODESHA,True,45.0,109.17,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Kansas
30,30,HEART OF AMERICA MEDICAL CENTER,Voluntary non-profit - Private,Critical Access Hospitals,48.363511,-99.996111,800 S MAIN AVE,RUGBY,True,29.0,232.7,4,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Same as the national average,North Dakota
31,31,MORGAN COUNTY ARH HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,37.920137,-83.266276,476 LIBERTY ROAD,WEST LIBERTY,True,7.0,143.51,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Kentucky
32,32,SIDNEY REGIONAL MEDICAL CENTER,Voluntary non-profit - Private,Critical Access Hospitals,41.130754,-102.98019,1000 POLE CREEK CROSSING,SIDNEY,True,29.0,326.25,3,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Above the national average,Not Available,Nebraska
33,33,SELLS HOSPITAL,Tribal,Acute Care Hospitals,31.9183549,-111.8792747,"HIGHWAY 86, AT TOPAWA ROAD",SELLS,True,19.0,141.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Arizona
34,34,JACKSON HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,30.78748,-85.240932,4250 HOSPITAL DR,MARIANNA,True,56.0,458.16,3,Same as the national average,Above the national average,Below the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Florida
35,35,EMANUEL MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,32.59321,-82.346552,117 KITE ROAD,SWAINSBORO,True,19.0,314.49,5,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Above the national average,Not Available,Georgia
36,36,MANATI MEDICAL CENTER DR OTERO LOPEZ,Proprietary,Acute Care Hospitals,18.4346023,-66.4823714,CALLE HERNANDEZ CARRION URB ATENAS,MANATI,True,77.0,1269.0,2,Same as the national average,Not Available,Below the national average,Not Available,Below the national average,Same as the national average,Not Available,Puerto Rico
37,37,CARE REGIONAL MEDICAL CENTER,Proprietary,Acute Care Hospitals,27.915921,-97.161829,1711 W WHEELER AVENUE,ARANSAS PASS,True,11.0,146.41,4,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Texas
38,38,"HOSPITAL UPR, DR  FEDERICO TRILLA",Proprietary,Acute Care Hospitals,18.3808638,-65.9632825,CARR 3 KM 8  3 AVE 65TH INFANTERIA       BOX 6021,CAROLINA,False,56.0,580.01,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Puerto Rico
39,39,HARRIS REGIONAL HOSPITAL,Proprietary,Acute Care Hospitals,35.383923,-83.20279,68 HOSPITAL RD,SYLVA,True,46.0,631.34,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,North Carolina
40,40,SAN JUAN MUNICIPAL HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,18.3960081,-66.0738624,"BARRIO MONACILLOS,CENTRO MEDICO",RIO PIEDRAS,True,50.0,642.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
41,41,"ASOCIACION HOSPITAL DEL MAESTRO, INC",Voluntary non-profit - Other,Acute Care Hospitals,18.4137095,-66.0682476,SERGIO CUEVAS BUSTAMANTE STREET 550,SAN JUAN,True,37.0,304.46,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available,Puerto Rico
42,42,GUAM REGIONAL MEDICAL CITY,Voluntary non-profit - Private,Acute Care Hospitals,13.5248362,144.8232653,133 ROUTE 3,DEDEDO,True,83.0,702.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Guam
43,43,SAN LUKE'S MEMORIAL HOSPITAL INC,Voluntary non-profit - Church,Acute Care Hospitals,18.0305718,-66.5936447,TITO CASTRO AVE #917,PONCE,True,73.0,1509.0,2,Same as the national average,Same as the national average,Below the national average,Not Available,Not Available,Not Available,Not Available,Puerto Rico
44,44,DOCTORS' CENTER HOSPITAL SAN JUAN,Proprietary,Acute Care Hospitals,18.4446749,-66.0761443,PDA. 20 C/ SAN RAFAEL # 1395,FERNANDEZ JUNCOS,True,59.0,346.14,1,Not Available,Not Available,Below the national average,Below the national average,Below the national average,Below the national average,Not Available,Puerto Rico
45,45,HOSP COMUNITARIO BUEN SAMARITANO,Voluntary non-profit - Other,Acute Care Hospitals,18.4257212,-67.1508997,CARR.2 KM.1.4 AVE. SEVERIANO CUEVAS #18,AGUADILLA,True,69.0,429.08,Not Available,Not Available,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available,Puerto Rico
46,46,HOSPITAL ONCOLOGICO DR ISAAC GONZALEZ MARTINEZ,Voluntary non-profit - Private,Acute Care Hospitals,18.3958646,-66.0736306,BO. MONACILLOS CARR 22 CENTRO MEDICO DE PUERTO RIC,SAN JUAN,False,45.0,229.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
47,47,HIMA SAN PABLO CUPEY,Proprietary,Acute Care Hospitals,18.3551846,-66.0400062,CARR 844 KM 5 CUPEY BAJO,SAN JUAN,True,24.0,162.13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
48,48,HOSPITAL DE LA CONCEPCION,Voluntary non-profit - Church,Acute Care Hospitals,18.0988246,-67.0382886,ROAD NUMBER 2 KM 173.4 CAIN ALTO,SAN GERMAN,True,61.0,694.66,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,Puerto Rico
49,49,HOSPITAL DR SUSONI INC,Voluntary non-profit - Private,Acute Care Hospitals,18.4726154,-66.7164601,55 PALM ST,ARECIBO,True,70.0,443.16,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
50,50,HOSPITAL METROPOLITANO DR PILA,Voluntary non-profit - Private,Acute Care Hospitals,18.0037384,-66.6104852,2435 LAS AMERICAS AVE,PONCE,True,70.0,405.17,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
51,51,HOSPITAL HERMANOS MELENDEZ INC,Proprietary,Acute Care Hospitals,18.3967595,-66.1625647,CARRETERA #2 KM 11 7,BAYAMON,True,30.0,493.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
52,52,HIMA SAN PABLO-CAGUAS,Proprietary,Acute Care Hospitals,18.2270107,-66.027318,AVE LUIS MUNOZ MARIN,CAGUAS,True,61.0,1749.59,1,Same as the national average,Not Available,Below the national average,Not Available,Below the national average,Not Available,Not Available,Puerto Rico
53,53,BELLA VISTA HOSPITAL,Voluntary non-profit - Church,Acute Care Hospitals,18.1868275,-67.1192192,CARR 349 KM 2 7 CERRO LAS MESAS,MAYAGUEZ,True,42.0,544.6,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,Puerto Rico
54,54,O'CONNOR HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,42.26687,-74.91685,460 ANDES ROAD,DELHI,True,35.0,149.8,1,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,New York
55,55,WYOMING MEDICAL CENTER,Government - Local,Acute Care Hospitals,42.848718,-106.308753,1233 EAST 2ND ST,CASPER,True,48.0,1198.4,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Wyoming
56,56,HOSPITAL DR CAYETANO COLL Y TOSTE,Proprietary,Acute Care Hospitals,18.4672197,-66.7313808,CARRETERA 129 KM.1 AVENIDA SAN LUIS,ARECIBO,True,63.0,579.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
57,57,ST VINCENT CLAY HOSPITAL INC,Voluntary non-profit - Private,Critical Access Hospitals,39.526935,-87.111318,1206 E NATIONAL AVE,BRAZIL,True,7.0,52.42,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Indiana
58,58,UNITED MEMORIAL MEDICAL CENTER,Physician,Acute Care Hospitals,29.847222,-95.407991,510 W TIDWELL,HOUSTON,True,22.0,170.96,3,Not Available,Same as the national average,Not Available,Not Available,Same as the national average,Below the national average,Not Available,Texas
59,59,HOSPITAL MENONITA GUAYAMA,Voluntary non-profit - Church,Acute Care Hospitals,17.9739992,-66.1065029,AVE. PEDRO ALBIZU CAMPOS URB. LA HACIENDA,GUAYAMA,True,65.0,362.0,Not Available,Not Available,Not Available,Not Available,Not Available,Below the national average,Below the national average,Not Available,Puerto Rico
60,60,PROFESSIONAL HOSPITAL GUAYNABO INC,Proprietary,Acute Care Hospitals,18.358297,-66.0726073,AVE LAS CUMBRES ST 199KM 1 2,ALT DE SANTA,True,13.0,91.46,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
61,61,CITY HOSPITAL AT  WHITE ROCK,Proprietary,Acute Care Hospitals,32.835521,-96.705001,9440 POPPY DR,DALLAS,True,39.0,448.16,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Texas
62,62,MENNONITE GENERAL HOSPITAL INC,Voluntary non-profit - Private,Acute Care Hospitals,18.143717,-66.2628471,CALLE JOSE C VASQUEZ BO. CAONILLAS,AIBONITO,True,46.0,796.0,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available,Puerto Rico
63,63,HOSPITAL METROPOLITANO DE LA MONTANA,Proprietary,Acute Care Hospitals,18.2675675,-66.7013424,CALLE ISAAC GONZALEZ ESQUINA LEDESMA,BDA NUEVA,True,43.0,153.93,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
64,64,RYDER MEMORIAL HOSPITAL INC,Voluntary non-profit - Private,Acute Care Hospitals,18.1550824,-65.8355988,355 AVE FONT MARTELO,HUMACAO,True,14.0,508.76,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
65,65,ADMIN DE SERVICIOS MEDICOS  PUERTO RIC,Government - Local,Acute Care Hospitals,18.45,-66.06,BO MONACILLO CARR NUM 22,SAN JUAN,True,86.0,1272.54,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
66,66,HOSPITAL MENONITA DE CAYEY,Voluntary non-profit - Private,Acute Care Hospitals,18.1243563,-66.1385053,BO. RINCON SECTOR LAS LOMAS  KM.3.1 CARR 14,CAYEY,True,65.0,1137.0,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available,Puerto Rico
67,67,"HOSPITAL PAVIA HATO REY, INC",Voluntary non-profit - Private,Acute Care Hospitals,18.4187832,-66.0556935,AVE PONCE DE LEON 435,HATO REY,True,50.0,381.91,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
68,68,"ROY LESTER SCHNEIDER HOSPITAL,THE",Government - Local,Acute Care Hospitals,18.340328,-64.9146707,9048 SUGAR ESTATE,ST THOMAS,True,31.0,616.95,2,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average,Not Available,Same as the national average,United States Virgin Islands
69,69,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,Government - State,Acute Care Hospitals,17.7336768,-64.7515758,"#4007 EST DIAMOND RUBY, CHRISTIANSTED",ST CROIX,True,43.0,624.14,3,Same as the national average,Same as the national average,Same as the national average,Not Available,Not Available,Not Available,Not Available,United States Virgin Islands
70,70,HOSPITAL MENONITA CAGUAS INC,Voluntary non-profit - Private,Acute Care Hospitals,18.2199893,-66.0490741,CARR 172  EXIT 21 URB TURABO GARDENS,CAGUAS,True,54.0,591.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
71,71,COMMONWEALTH HEALTH CENTER,Proprietary,Acute Care Hospitals,15.2086299,145.7303467,1 LOWER NAVY HILL ROAD (PO BOX 409CK),GARAPAN,True,65.0,709.72,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,Northern Mariana Islands
72,72,HOSPITAL DAMAS INC,Voluntary non-profit - Private,Acute Care Hospitals,17.9970214,-66.6180176,PONCE BY PASS #2213,PONCE,True,55.0,696.17,Not Available,Not Available,Not Available,Below the national average,Not Available,Not Available,Below the national average,Not Available,Puerto Rico
73,73,HOSPITAL PEREA,Proprietary,Acute Care Hospitals,18.2028218,-67.1398281,15 DR BASORA STREET,MAYAGUEZ,True,70.0,467.13,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,Puerto Rico
74,74,HOSPITAL ORIENTE,Proprietary,Acute Care Hospitals,18.1529052,-65.8340682,300 FONT MARTELLO STREET,HUMACAO,True,68.0,199.76,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
75,75,MAYAGUEZ MEDICAL CENTER DR RAMON EMETERIO BETANCES,Proprietary,Acute Care Hospitals,18.1764606,-67.151248,CARR 2 BO SABALOS,MAYAGUEZ,True,64.0,726.24,2,Same as the national average,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Puerto Rico
76,76,LAKE GRANBURY MEDICAL CENTER,Proprietary,Acute Care Hospitals,32.431845,-97.802729,1310 PALUXY RD,GRANBURY,True,67.0,596.79,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Below the national average,Texas
77,77,HOSPITAL PAVIA SANTURCE,Voluntary non-profit - Private,Acute Care Hospitals,18.4449339,-66.0696675,CALLE PROFESOR AUGUSTO RODRIGUEZ #1462,FERNANDEZ JUNCOS,True,74.0,779.06,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available,Puerto Rico
78,78,CARIBBEAN MEDICAL CENTER,Proprietary,Acute Care Hospitals,18.3321123,-65.6501216,151 AVE OSVALDO MOLINA,FAJARDO,True,99.0,215.94,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
79,79,GUAM MEMORIAL HOSPITAL AUTHORITY,Government - Local,Acute Care Hospitals,13.5008229,144.775591,85O GOV CARLOS G CAMACHO ROAD,TAMUNING,True,62.0,1266.55,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available,Guam
80,80,HOSPITAL SAN CARLOS BORROMEO,Voluntary non-profit - Private,Acute Care Hospitals,18.3885735,-67.1060353,CALLE CONCEPCION VERA AYALA #550 S,MOCA,True,49.0,297.99,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,Puerto Rico
81,81,HOSPITAL METROPOLITANO DR TITO MATTEI,Proprietary,Acute Care Hospitals,18.0295606,-66.8571953,ROAD 128 KM 1.0,YAUCO,True,49.0,265.53,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
82,82,HOSPITAL SAN CRISTOBAL,Voluntary non-profit - Private,Acute Care Hospitals,18.0489279,-66.5531847,CARR 506 KM 1 0,COTO LAUREL,True,60.0,339.98,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Puerto Rico
83,83,"DOCTORS' CENTER HOSPITAL, INC",Proprietary,Acute Care Hospitals,18.4344971,-66.4738542,"MARGINAL CARRETERA NO 2, KM 47 7",MANATI,True,88.0,944.55,1,Not Available,Not Available,Below the national average,Below the national average,Same as the national average,Not Available,Not Available,Puerto Rico
84,84,NORTHSIDE HOSPITAL CHEROKEE,Voluntary non-profit - Other,Acute Care Hospitals,34.227523,-84.460562,450 NORTHSIDE CHEROKEE BOULEVARD,CANTON,True,116.0,2015.76,2,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Georgia
85,85,"ST JOHN MEDICAL CENTER, INC",Voluntary non-profit - Private,Acute Care Hospitals,36.134928,-95.967243,1923 SOUTH UTICA AVENUE,TULSA,True,83.0,2244.74,2,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Oklahoma
86,86,MAD RIVER COMMUNITY HOSPITAL,Proprietary,Acute Care Hospitals,40.903309,-124.090847,3800 JANES RD,ARCATA,True,48.0,453.28,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,California
87,87,WESTERN PLAINS MEDICAL COMPLEX,Proprietary,Acute Care Hospitals,37.785487,-100.014975,3001 AVENUE A,DODGE CITY,True,23.0,213.24,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Not Available,Kansas
88,88,DELTA MEDICAL CENTER,Proprietary,Acute Care Hospitals,35.067788,-89.932213,3000 GETWELL RD,MEMPHIS,True,3.0,284.19,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Tennessee
89,89,ELLENVILLE REGIONAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,41.732351,-74.380624,10 HEALTHY WAY,ELLENVILLE,True,86.0,177.8,3,Same as the national average,Not Available,Below the national average,Not Available,Same as the national average,Above the national average,Not Available,New York
90,90,ST ELIZABETH MEDICAL CENTER,Proprietary,Critical Access Hospitals,44.386416,-92.04914,1200 GRANT BLVD W,WABASHA,True,25.0,304.11,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Minnesota
91,91,LINCOLN COUNTY HOSPITAL,Government - Local,Critical Access Hospitals,39.045175,-98.14437,624 N SECOND,LINCOLN,False,45.0,66.31,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Kansas
92,92,HILLCREST HOSPITAL PRYOR,Proprietary,Acute Care Hospitals,36.308274,-95.305388,111 NORTH BAILEY STREET,PRYOR,True,13.0,122.38,4,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Oklahoma
93,93,ALLIANCEHEALTH MADILL,Proprietary,Critical Access Hospitals,34.081738,-96.77845,901 S 5TH AVE,MADILL,True,21.0,80.89,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available,Oklahoma
94,94,CACHE VALLEY  HOSPITAL,Proprietary,Acute Care Hospitals,41.775714,-111.823092,2380 NORTH 400 EAST,NORTH LOGAN,True,15.0,146.89,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Above the national average,Not Available,Utah
