,hospital_name,hospital_ownership,hospital_type,lat,lng,address,city,emergency_services,subtotal_acute_utilization,payroll_employees,hospital_overall_rating,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison
46,SIDNEY REGIONAL MEDICAL CENTER,Voluntary non-profit - Private,Critical Access Hospitals,41.130754,-102.98019,1000 POLE CREEK CROSSING,SIDNEY,True,29.0,326.25,3,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Above the national average,Not Available
47,SELLS HOSPITAL,Tribal,Acute Care Hospitals,31.9183549,-111.8792747,"HIGHWAY 86, AT TOPAWA ROAD",SELLS,True,19.0,141.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
48,JACKSON HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,30.78748,-85.240932,4250 HOSPITAL DR,MARIANNA,True,56.0,458.16,3,Same as the national average,Above the national average,Below the national average,Above the national average,Below the national average,Above the national average,Same as the national average
49,EMANUEL MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,32.59321,-82.346552,117 KITE ROAD,SWAINSBORO,True,19.0,314.49,5,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Above the national average,Not Available
50,EMANUEL MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,32.59321,-82.346552,117 KITE ROAD,SWAINSBORO,True,19.0,314.49,1,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
51,MANATI MEDICAL CENTER DR OTERO LOPEZ,Proprietary,Acute Care Hospitals,18.4346023,-66.4823714,CALLE HERNANDEZ CARRION URB ATENAS,MANATI,True,77.0,1269.0,2,Same as the national average,Not Available,Below the national average,Not Available,Below the national average,Same as the national average,Not Available
52,CARE REGIONAL MEDICAL CENTER,Proprietary,Acute Care Hospitals,27.915921,-97.161829,1711 W WHEELER AVENUE,ARANSAS PASS,True,11.0,146.41,4,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available
53,"HOSPITAL UPR, DR  FEDERICO TRILLA",Proprietary,Acute Care Hospitals,18.3808638,-65.9632825,CARR 3 KM 8  3 AVE 65TH INFANTERIA       BOX 6021,CAROLINA,False,56.0,580.01,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
54,HARRIS REGIONAL HOSPITAL,Proprietary,Acute Care Hospitals,35.383923,-83.20279,68 HOSPITAL RD,SYLVA,True,46.0,631.34,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
55,SAN JUAN MUNICIPAL HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,18.3960081,-66.0738624,"BARRIO MONACILLOS,CENTRO MEDICO",RIO PIEDRAS,True,50.0,642.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
56,"ASOCIACION HOSPITAL DEL MAESTRO, INC",Voluntary non-profit - Other,Acute Care Hospitals,18.4137095,-66.0682476,SERGIO CUEVAS BUSTAMANTE STREET 550,SAN JUAN,True,37.0,304.46,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available
57,GUAM REGIONAL MEDICAL CITY,Voluntary non-profit - Private,Acute Care Hospitals,13.5248362,144.8232653,133 ROUTE 3,DEDEDO,True,83.0,702.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
58,SAN LUKE'S MEMORIAL HOSPITAL INC,Voluntary non-profit - Church,Acute Care Hospitals,18.0305718,-66.5936447,TITO CASTRO AVE #917,PONCE,True,73.0,1509.0,2,Same as the national average,Same as the national average,Below the national average,Not Available,Not Available,Not Available,Not Available
59,DOCTORS' CENTER HOSPITAL SAN JUAN,Proprietary,Acute Care Hospitals,18.4446749,-66.0761443,PDA. 20 C/ SAN RAFAEL # 1395,FERNANDEZ JUNCOS,True,59.0,346.14,1,Not Available,Not Available,Below the national average,Below the national average,Below the national average,Below the national average,Not Available
60,HOSP COMUNITARIO BUEN SAMARITANO,Voluntary non-profit - Other,Acute Care Hospitals,18.4257212,-67.1508997,CARR.2 KM.1.4 AVE. SEVERIANO CUEVAS #18,AGUADILLA,True,69.0,429.08,Not Available,Not Available,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available
62,HOSPITAL ONCOLOGICO DR ISAAC GONZALEZ MARTINEZ,Voluntary non-profit - Private,Acute Care Hospitals,18.3958646,-66.0736306,BO. MONACILLOS CARR 22 CENTRO MEDICO DE PUERTO RIC,SAN JUAN,False,45.0,229.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
63,HIMA SAN PABLO CUPEY,Proprietary,Acute Care Hospitals,18.3551846,-66.0400062,CARR 844 KM 5 CUPEY BAJO,SAN JUAN,True,24.0,162.13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
64,HOSPITAL DE LA CONCEPCION,Voluntary non-profit - Church,Acute Care Hospitals,18.0988246,-67.0382886,ROAD NUMBER 2 KM 173.4 CAIN ALTO,SAN GERMAN,True,61.0,694.66,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
65,HOSPITAL DR SUSONI INC,Voluntary non-profit - Private,Acute Care Hospitals,18.4726154,-66.7164601,55 PALM ST,ARECIBO,True,70.0,443.16,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
66,HOSPITAL METROPOLITANO DR PILA,Voluntary non-profit - Private,Acute Care Hospitals,18.0037384,-66.6104852,2435 LAS AMERICAS AVE,PONCE,True,70.0,405.17,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
67,HOSPITAL HERMANOS MELENDEZ INC,Proprietary,Acute Care Hospitals,18.3967595,-66.1625647,CARRETERA #2 KM 11 7,BAYAMON,True,30.0,493.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
68,HIMA SAN PABLO-CAGUAS,Proprietary,Acute Care Hospitals,18.2270107,-66.027318,AVE LUIS MUNOZ MARIN,CAGUAS,True,61.0,1749.59,1,Same as the national average,Not Available,Below the national average,Not Available,Below the national average,Not Available,Not Available
69,BELLA VISTA HOSPITAL,Voluntary non-profit - Church,Acute Care Hospitals,18.1868275,-67.1192192,CARR 349 KM 2 7 CERRO LAS MESAS,MAYAGUEZ,True,42.0,544.6,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
70,O'CONNOR HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,42.26687,-74.91685,460 ANDES ROAD,DELHI,True,35.0,149.8,1,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average
71,O'CONNOR HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,42.26687,-74.91685,460 ANDES ROAD,DELHI,True,35.0,149.8,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available
72,WYOMING MEDICAL CENTER,Government - Local,Acute Care Hospitals,42.848718,-106.308753,1233 EAST 2ND ST,CASPER,True,48.0,1198.4,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
73,HOSPITAL DR CAYETANO COLL Y TOSTE,Proprietary,Acute Care Hospitals,18.4672197,-66.7313808,CARRETERA 129 KM.1 AVENIDA SAN LUIS,ARECIBO,True,63.0,579.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
74,ST VINCENT CLAY HOSPITAL INC,Voluntary non-profit - Private,Critical Access Hospitals,39.526935,-87.111318,1206 E NATIONAL AVE,BRAZIL,True,7.0,52.42,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
75,UNITED MEMORIAL MEDICAL CENTER,Physician,Acute Care Hospitals,29.847222,-95.407991,510 W TIDWELL,HOUSTON,True,22.0,170.96,3,Not Available,Same as the national average,Not Available,Not Available,Same as the national average,Below the national average,Not Available
76,UNITED MEMORIAL MEDICAL CENTER,Physician,Acute Care Hospitals,29.847222,-95.407991,510 W TIDWELL,HOUSTON,True,22.0,170.96,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Not Available
77,HOSPITAL MENONITA GUAYAMA,Voluntary non-profit - Church,Acute Care Hospitals,17.9739992,-66.1065029,AVE. PEDRO ALBIZU CAMPOS URB. LA HACIENDA,GUAYAMA,True,65.0,362.0,Not Available,Not Available,Not Available,Not Available,Not Available,Below the national average,Below the national average,Not Available
78,PROFESSIONAL HOSPITAL GUAYNABO INC,Proprietary,Acute Care Hospitals,18.358297,-66.0726073,AVE LAS CUMBRES ST 199KM 1 2,ALT DE SANTA,True,13.0,91.46,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
80,CITY HOSPITAL AT  WHITE ROCK,Proprietary,Acute Care Hospitals,32.835521,-96.705001,9440 POPPY DR,DALLAS,True,39.0,448.16,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
81,MENNONITE GENERAL HOSPITAL INC,Voluntary non-profit - Private,Acute Care Hospitals,18.143717,-66.2628471,CALLE JOSE C VASQUEZ BO. CAONILLAS,AIBONITO,True,46.0,796.0,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available
82,HOSPITAL METROPOLITANO DE LA MONTANA,Proprietary,Acute Care Hospitals,18.2675675,-66.7013424,CALLE ISAAC GONZALEZ ESQUINA LEDESMA,BDA NUEVA,True,43.0,153.93,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
85,RYDER MEMORIAL HOSPITAL INC,Voluntary non-profit - Private,Acute Care Hospitals,18.1550824,-65.8355988,355 AVE FONT MARTELO,HUMACAO,True,14.0,508.76,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
86,ADMIN DE SERVICIOS MEDICOS  PUERTO RIC,Government - Local,Acute Care Hospitals,18.45,-66.06,BO MONACILLO CARR NUM 22,SAN JUAN,True,86.0,1272.54,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
87,HOSPITAL MENONITA DE CAYEY,Voluntary non-profit - Private,Acute Care Hospitals,18.1243563,-66.1385053,BO. RINCON SECTOR LAS LOMAS  KM.3.1 CARR 14,CAYEY,True,65.0,1137.0,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available
88,"HOSPITAL PAVIA HATO REY, INC",Voluntary non-profit - Private,Acute Care Hospitals,18.4187832,-66.0556935,AVE PONCE DE LEON 435,HATO REY,True,50.0,381.91,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
89,"ROY LESTER SCHNEIDER HOSPITAL,THE",Government - Local,Acute Care Hospitals,18.340328,-64.9146707,9048 SUGAR ESTATE,ST THOMAS,True,31.0,616.95,2,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average,Not Available,Same as the national average
90,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,Government - State,Acute Care Hospitals,17.7336768,-64.7515758,"#4007 EST DIAMOND RUBY, CHRISTIANSTED",ST CROIX,True,43.0,624.14,3,Same as the national average,Same as the national average,Same as the national average,Not Available,Not Available,Not Available,Not Available
91,HOSPITAL MENONITA CAGUAS INC,Voluntary non-profit - Private,Acute Care Hospitals,18.2199893,-66.0490741,CARR 172  EXIT 21 URB TURABO GARDENS,CAGUAS,True,54.0,591.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
92,COMMONWEALTH HEALTH CENTER,Proprietary,Acute Care Hospitals,15.2086299,145.7303467,1 LOWER NAVY HILL ROAD (PO BOX 409CK),GARAPAN,True,65.0,709.72,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
93,HOSPITAL DAMAS INC,Voluntary non-profit - Private,Acute Care Hospitals,17.9970214,-66.6180176,PONCE BY PASS #2213,PONCE,True,55.0,696.17,Not Available,Not Available,Not Available,Below the national average,Not Available,Not Available,Below the national average,Not Available
94,HOSPITAL PEREA,Proprietary,Acute Care Hospitals,18.2028218,-67.1398281,15 DR BASORA STREET,MAYAGUEZ,True,70.0,467.13,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
95,HOSPITAL ORIENTE,Proprietary,Acute Care Hospitals,18.1529052,-65.8340682,300 FONT MARTELLO STREET,HUMACAO,True,68.0,199.76,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
96,MAYAGUEZ MEDICAL CENTER DR RAMON EMETERIO BETANCES,Proprietary,Acute Care Hospitals,18.1764606,-67.151248,CARR 2 BO SABALOS,MAYAGUEZ,True,64.0,726.24,2,Same as the national average,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available
97,LAKE GRANBURY MEDICAL CENTER,Proprietary,Acute Care Hospitals,32.431845,-97.802729,1310 PALUXY RD,GRANBURY,True,67.0,596.79,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Below the national average
98,HOSPITAL PAVIA SANTURCE,Voluntary non-profit - Private,Acute Care Hospitals,18.4449339,-66.0696675,CALLE PROFESOR AUGUSTO RODRIGUEZ #1462,FERNANDEZ JUNCOS,True,74.0,779.06,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available
99,CARIBBEAN MEDICAL CENTER,Proprietary,Acute Care Hospitals,18.3321123,-65.6501216,151 AVE OSVALDO MOLINA,FAJARDO,True,99.0,215.94,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
100,GUAM MEMORIAL HOSPITAL AUTHORITY,Government - Local,Acute Care Hospitals,13.5008229,144.775591,85O GOV CARLOS G CAMACHO ROAD,TAMUNING,True,62.0,1266.55,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available
101,HOSPITAL SAN CARLOS BORROMEO,Voluntary non-profit - Private,Acute Care Hospitals,18.3885735,-67.1060353,CALLE CONCEPCION VERA AYALA #550 S,MOCA,True,49.0,297.99,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
102,HOSPITAL METROPOLITANO DR TITO MATTEI,Proprietary,Acute Care Hospitals,18.0295606,-66.8571953,ROAD 128 KM 1.0,YAUCO,True,49.0,265.53,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
103,HOSPITAL SAN CRISTOBAL,Voluntary non-profit - Private,Acute Care Hospitals,18.0489279,-66.5531847,CARR 506 KM 1 0,COTO LAUREL,True,60.0,339.98,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
104,"DOCTORS' CENTER HOSPITAL, INC",Proprietary,Acute Care Hospitals,18.4344971,-66.4738542,"MARGINAL CARRETERA NO 2, KM 47 7",MANATI,True,88.0,944.55,1,Not Available,Not Available,Below the national average,Below the national average,Same as the national average,Not Available,Not Available
106,NORTHSIDE HOSPITAL CHEROKEE,Voluntary non-profit - Other,Acute Care Hospitals,34.227523,-84.460562,450 NORTHSIDE CHEROKEE BOULEVARD,CANTON,True,116.0,2015.76,2,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
107,"ST JOHN MEDICAL CENTER, INC",Voluntary non-profit - Private,Acute Care Hospitals,36.134928,-95.967243,1923 SOUTH UTICA AVENUE,TULSA,True,83.0,2244.74,2,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average
